1, 0 
2, 0 
3, 10 
4, 13 
5, 0 
6, 0 
7, 0 
8, 0 
9, 1 
10, 10 
11, 0 
12, 0 
13, 5 
14, 5 
15, 14 
16, 0 
17, 13 
18, 0 
19, 1 
20, 6 
21, 14 
22, 0 
23, 5 
24, 1 
25, 5 
26, 10 
27, 0 
28, 1 
29, 5 
30, 10 
31, 2 
32, 5 
33, 11 
34, 0 
35, 10 
36, 13 
37, 0 
38, 0 
39, 0 
40, 1 
41, 7 
42, 14 
43, 0 
44, 14 
45, 11 
46, 10 
47, 10 
48, 0 
49, 10 
50, 0 
51, 14 
52, 10 
53, 13 
54, 13 
55, 0 
56, 0 
57, 13 
58, 0 
59, 13 
60, 0 
61, 0 
62, 11 
63, 5 
64, 0 
65, 10 
66, 0 
67, 13 
68, 9 
69, 0 
70, 5 
71, 10 
72, 3 
73, 0 
74, 0 
75, 0 
76, 13 
77, 13 
78, 6 
79, 10 
80, 0 
81, 0 
82, 14 
83, 0 
84, 13 
85, 8 
86, 0 
87, 10 
88, 14 
89, 13 
90, 10 
91, 0 
92, 7 
93, 14 
94, 5 
95, 0 
96, 6 
97, 1 
98, 5 
99, 16 
100, 5 
101, 10 
102, 0 
103, 2 
104, 6 
105, 6 
106, 9 
107, 7 
108, 11 
109, 15 
110, 5 
111, 14 
112, 10 
113, 10 
114, 8 
115, 15 
116, 15 
117, 15 
118, 10 
119, 10 
120, 13 
121, 0 
122, 6 
123, 10 
124, 0 
125, 10 
126, 8 
127, 10 
128, 15 
129, 11 
130, 5 
131, 6 
132, 0 
133, 0 
134, 1 
135, 0 
136, 13 
137, 13 
138, 0 
139, 0 
140, 0 
141, 5 
142, 15 
143, 6 
144, 0 
145, 5 
146, 2 
147, 5 
148, 10 
149, 10 
150, 0 
151, 10 
152, 11 
153, 2 
154, 2 
155, 5 
156, 5 
157, 12 
158, 9 
159, 0 
160, 11 
161, 5 
162, 5 
163, 0 
164, 0 
165, 3 
166, 3 
167, 5 
168, 10 
169, 11 
170, 11 
171, 3 
172, 14 
173, 13 
174, 0 
175, 10 
176, 0 
177, 13 
178, 7 
179, 0 
180, 10 
181, 10 
182, 2 
183, 5 
184, 8 
185, 8 
186, 8 
187, 10 
